step,evaluation_loss
2.500000000000000000e+02,4.498149156570434570e-01
5.000000000000000000e+02,3.861880004405975342e-01
7.500000000000000000e+02,3.645215332508087158e-01
1.000000000000000000e+03,3.614555001258850098e-01
1.250000000000000000e+03,3.589661419391632080e-01
1.500000000000000000e+03,3.582814931869506836e-01
1.750000000000000000e+03,3.572542071342468262e-01
2.000000000000000000e+03,3.567849099636077881e-01
2.250000000000000000e+03,3.563359975814819336e-01
2.500000000000000000e+03,3.559933602809906006e-01
2.750000000000000000e+03,3.557799458503723145e-01
3.000000000000000000e+03,3.557705581188201904e-01
3.250000000000000000e+03,3.555917441844940186e-01
3.500000000000000000e+03,3.553887605667114258e-01
3.750000000000000000e+03,3.552941977977752686e-01
4.000000000000000000e+03,3.552357852458953857e-01
4.250000000000000000e+03,3.552661538124084473e-01
4.500000000000000000e+03,3.551675379276275635e-01
4.750000000000000000e+03,3.551043868064880371e-01
5.000000000000000000e+03,3.550465106964111328e-01
5.250000000000000000e+03,3.550643920898437500e-01
5.500000000000000000e+03,3.550256490707397461e-01
5.750000000000000000e+03,3.550016283988952637e-01
6.000000000000000000e+03,3.549995720386505127e-01
6.250000000000000000e+03,3.549943268299102783e-01
