step,evaluation_loss
2.500000000000000000e+02,4.498090147972106934e-01
5.000000000000000000e+02,3.861940205097198486e-01
7.500000000000000000e+02,3.645224571228027344e-01
1.000000000000000000e+03,3.614514768123626709e-01
1.250000000000000000e+03,3.589651286602020264e-01
1.500000000000000000e+03,3.582789003849029541e-01
1.750000000000000000e+03,3.572518229484558105e-01
2.000000000000000000e+03,3.567876219749450684e-01
2.250000000000000000e+03,3.563368022441864014e-01
2.500000000000000000e+03,3.559931218624114990e-01
2.750000000000000000e+03,3.557806909084320068e-01
3.000000000000000000e+03,3.557704687118530273e-01
3.250000000000000000e+03,3.555922210216522217e-01
3.500000000000000000e+03,3.553869426250457764e-01
3.750000000000000000e+03,3.552919924259185791e-01
4.000000000000000000e+03,3.552338480949401855e-01
4.250000000000000000e+03,3.552657961845397949e-01
4.500000000000000000e+03,3.551673591136932373e-01
4.750000000000000000e+03,3.551044166088104248e-01
5.000000000000000000e+03,3.550460934638977051e-01
5.250000000000000000e+03,3.550645112991333008e-01
5.500000000000000000e+03,3.550254404544830322e-01
5.750000000000000000e+03,3.550016582012176514e-01
6.000000000000000000e+03,3.549998104572296143e-01
6.250000000000000000e+03,3.549944758415222168e-01
