step,evaluation_loss
2.500000000000000000e+02,4.498085677623748779e-01
5.000000000000000000e+02,3.861734271049499512e-01
7.500000000000000000e+02,3.645220994949340820e-01
1.000000000000000000e+03,3.614492714405059814e-01
1.250000000000000000e+03,3.589607477188110352e-01
1.500000000000000000e+03,3.582785129547119141e-01
1.750000000000000000e+03,3.572511076927185059e-01
2.000000000000000000e+03,3.567829430103302002e-01
2.250000000000000000e+03,3.563337326049804688e-01
2.500000000000000000e+03,3.559918105602264404e-01
2.750000000000000000e+03,3.557786345481872559e-01
3.000000000000000000e+03,3.557678759098052979e-01
3.250000000000000000e+03,3.555894196033477783e-01
3.500000000000000000e+03,3.553847074508666992e-01
3.750000000000000000e+03,3.552898168563842773e-01
4.000000000000000000e+03,3.552318811416625977e-01
4.250000000000000000e+03,3.552632331848144531e-01
4.500000000000000000e+03,3.551652431488037109e-01
4.750000000000000000e+03,3.551023602485656738e-01
5.000000000000000000e+03,3.550442755222320557e-01
5.250000000000000000e+03,3.550625145435333252e-01
5.500000000000000000e+03,3.550229668617248535e-01
5.750000000000000000e+03,3.549991548061370850e-01
6.000000000000000000e+03,3.549972176551818848e-01
6.250000000000000000e+03,3.549919128417968750e-01
