step,evaluation_loss
2.500000000000000000e+02,4.498043954372406006e-01
5.000000000000000000e+02,3.861781060695648193e-01
7.500000000000000000e+02,3.645246624946594238e-01
1.000000000000000000e+03,3.614567220211029053e-01
1.250000000000000000e+03,3.589641451835632324e-01
1.500000000000000000e+03,3.582758903503417969e-01
1.750000000000000000e+03,3.572491407394409180e-01
2.000000000000000000e+03,3.567841053009033203e-01
2.250000000000000000e+03,3.563350141048431396e-01
2.500000000000000000e+03,3.559926152229309082e-01
2.750000000000000000e+03,3.557807505130767822e-01
3.000000000000000000e+03,3.557713031768798828e-01
3.250000000000000000e+03,3.555938005447387695e-01
3.500000000000000000e+03,3.553886115550994873e-01
3.750000000000000000e+03,3.552935719490051270e-01
4.000000000000000000e+03,3.552333414554595947e-01
4.250000000000000000e+03,3.552636206150054932e-01
4.500000000000000000e+03,3.551663160324096680e-01
4.750000000000000000e+03,3.551037013530731201e-01
5.000000000000000000e+03,3.550462722778320312e-01
5.250000000000000000e+03,3.550647199153900146e-01
5.500000000000000000e+03,3.550259172916412354e-01
5.750000000000000000e+03,3.550021648406982422e-01
6.000000000000000000e+03,3.550002574920654297e-01
6.250000000000000000e+03,3.549950420856475830e-01
