step,evaluation_loss
313,0.3574877381324768
626,0.3545512855052948
939,0.3549747169017792
1252,0.3543413579463959
1565,0.3549172282218933
1878,0.3546518385410309
2191,0.35472968220710754
2504,0.3551236391067505
2817,0.35585758090019226
3130,0.35647478699684143
3443,0.35613206028938293
3756,0.3565473258495331
4069,0.3568142354488373
4382,0.3571793735027313
4695,0.3576905429363251
5008,0.3579398989677429
5321,0.3581046462059021
5634,0.35854560136795044
5947,0.35892000794410706
6260,0.35859429836273193
6573,0.35890910029411316
6886,0.3590175211429596
7199,0.3592301607131958
7512,0.3593689501285553
7825,0.3597732484340668
8138,0.3601835072040558
8451,0.3603823184967041
8764,0.3605690896511078
9077,0.3606365919113159
9390,0.3606854975223541
9703,0.36110222339630127
10016,0.36103931069374084
10329,0.36104515194892883
10642,0.3613789677619934
10955,0.36142393946647644
11268,0.36132922768592834
11581,0.3613020181655884
11894,0.36133435368537903
12207,0.36138591170310974
