step,training_loss
500,2.6694
1000,0.5076
1500,0.4596
2000,0.4692
2500,0.4701
3000,0.4682
3500,0.4436
4000,0.4555
4500,0.4559
5000,0.4576
5500,0.4669
6000,0.4373
6500,0.4425
7000,0.4579
7500,0.4538
8000,0.4471
8500,0.4617
9000,0.4514
9500,0.4529
10000,0.4359
10500,0.4578
11000,0.4461
11500,0.435
12000,0.4598
12500,0.4412
13000,0.4572
13500,0.4337
14000,0.4516
14500,0.4474
15000,0.4495
15500,0.4374
16000,0.4385
16500,0.4473
17000,0.4464
17500,0.4611
18000,0.46
18500,0.4363
19000,0.4432
19500,0.4397
20000,0.4495
20500,0.4408
21000,0.449
21500,0.4451
22000,0.4503
22500,0.4415
23000,0.4534
23500,0.4631
24000,0.4407
24500,0.4506
25000,0.4191
