step,training_loss
500,0.4533
1000,0.4465
1500,0.4287
2000,0.4462
2500,0.455
3000,0.4547
3500,0.4296
4000,0.4417
4500,0.4427
5000,0.4446
5500,0.4536
6000,0.4241
6500,0.4296
7000,0.4472
7500,0.4426
8000,0.4319
8500,0.4473
9000,0.4404
9500,0.4407
10000,0.4243
10500,0.4437
11000,0.4349
11500,0.4227
12000,0.4477
12500,0.427
13000,0.4385
13500,0.4194
14000,0.4366
14500,0.4328
15000,0.434
15500,0.4237
16000,0.4245
16500,0.4344
17000,0.4316
17500,0.4466
18000,0.445
18500,0.4213
19000,0.4289
19500,0.4258
20000,0.4361
20500,0.4242
21000,0.4327
21500,0.4312
22000,0.4347
22500,0.4268
23000,0.4381
23500,0.4458
24000,0.4257
24500,0.4349
25000,0.4052
