step,rank,is_low_rank
0,363,False
1,399,False
2,393,False
3,379,False
4,407,False
5,365,False
6,396,False
7,406,False
8,396,False
9,325,True
10,391,False
11,390,False
12,373,False
13,338,True
14,380,False
15,412,False
16,314,True
17,366,False
18,394,False
19,381,False
20,378,False
21,329,True
22,381,False
23,355,True
24,374,False
25,369,False
26,326,True
27,338,True
28,353,True
29,396,False
30,341,True
31,354,True
32,376,False
33,349,True
34,366,False
35,369,False
36,357,True
37,370,False
38,370,False
39,368,False
40,399,False
41,376,False
42,315,True
43,332,True
44,372,False
45,349,True
46,371,False
47,397,False
48,378,False
49,409,False
50,325,True
51,419,False
52,362,False
53,392,False
54,384,False
55,385,False
56,361,False
57,366,False
58,349,True
59,378,False
60,365,False
61,365,False
62,399,False
63,370,False
64,377,False
65,342,True
66,365,False
67,402,False
68,426,False
69,317,True
70,369,False
71,376,False
72,332,True
73,369,False
74,357,True
75,374,False
76,409,False
77,393,False
78,363,False
79,363,False
80,348,True
81,295,True
82,287,True
83,365,False
84,398,False
85,353,True
86,397,False
87,393,False
88,383,False
89,373,False
90,364,False
91,372,False
92,355,True
93,438,False
94,364,False
95,339,True
96,365,False
97,369,False
98,355,True
99,378,False
100,384,False
101,331,True
102,383,False
103,369,False
104,369,False
105,390,False
106,341,True
107,398,False
108,328,True
109,356,True
110,372,False
111,329,True
112,385,False
113,383,False
114,408,False
115,345,True
116,363,False
117,359,False
118,395,False
119,408,False
120,369,False
121,351,True
122,325,True
123,385,False
124,373,False
125,374,False
126,317,True
127,379,False
128,395,False
129,312,True
130,353,True
131,380,False
132,362,False
133,371,False
134,390,False
135,357,True
136,382,False
137,369,False
138,391,False
139,364,False
140,420,False
141,402,False
142,395,False
143,355,True
144,399,False
145,423,False
146,399,False
147,363,False
148,396,False
149,373,False
150,329,True
151,422,False
152,422,False
153,348,True
154,344,True
155,390,False
156,398,False
157,351,True
158,363,False
159,387,False
160,414,False
161,419,False
162,334,True
163,364,False
164,428,False
165,392,False
166,318,True
167,379,False
168,374,False
169,401,False
170,402,False
171,335,True
172,372,False
173,368,False
174,402,False
175,373,False
176,383,False
177,374,False
178,376,False
179,373,False
180,397,False
181,371,False
182,363,False
183,395,False
184,395,False
185,369,False
186,373,False
187,488,False
188,380,False
189,378,False
190,438,False
191,348,True
192,369,False
193,381,False
194,478,False
195,407,False
196,425,False
197,384,False
198,396,False
199,420,False
200,421,False
201,355,True
202,437,False
203,436,False
204,435,False
205,327,True
206,369,False
207,369,False
208,452,False
209,389,False
210,310,True
211,414,False
212,458,False
213,469,False
214,443,False
215,436,False
216,387,False
217,440,False
218,358,True
219,419,False
220,427,False
221,392,False
222,402,False
223,453,False
224,471,False
225,425,False
226,472,False
227,346,True
228,452,False
229,394,False
230,447,False
231,416,False
232,447,False
233,490,False
234,361,False
235,499,False
236,421,False
237,500,False
238,394,False
239,458,False
240,481,False
241,449,False
242,469,False
243,456,False
244,480,False
245,485,False
246,410,False
247,494,False
248,456,False
249,368,False
250,410,False
251,424,False
252,422,False
253,471,False
254,454,False
255,473,False
256,405,False
257,437,False
258,490,False
259,473,False
260,482,False
261,489,False
262,473,False
263,457,False
264,383,False
265,481,False
266,502,False
267,469,False
268,498,False
269,493,False
270,504,False
271,442,False
272,501,False
273,477,False
274,489,False
275,470,False
276,495,False
277,451,False
278,469,False
279,495,False
280,404,False
281,448,False
282,479,False
283,484,False
284,499,False
285,496,False
286,479,False
287,457,False
288,493,False
289,498,False
290,487,False
291,487,False
292,500,False
293,500,False
294,446,False
295,437,False
296,504,False
297,444,False
298,505,False
299,500,False
300,473,False
301,470,False
302,505,False
303,465,False
304,481,False
305,421,False
306,499,False
307,505,False
308,505,False
309,471,False
310,482,False
311,493,False
312,500,False
313,494,False
314,504,False
315,477,False
316,502,False
317,478,False
318,494,False
319,486,False
320,490,False
321,503,False
322,497,False
323,487,False
324,451,False
325,482,False
326,501,False
327,435,False
328,417,False
329,503,False
330,503,False
331,494,False
332,500,False
333,492,False
334,432,False
335,494,False
336,458,False
337,493,False
338,507,False
339,500,False
340,504,False
341,498,False
342,498,False
343,492,False
344,502,False
345,495,False
346,496,False
347,506,False
348,490,False
349,491,False
350,494,False
351,501,False
352,500,False
353,474,False
354,477,False
355,497,False
356,438,False
357,470,False
358,492,False
359,454,False
360,471,False
361,488,False
362,497,False
363,477,False
364,466,False
365,502,False
366,501,False
367,499,False
368,489,False
369,493,False
370,416,False
371,509,False
372,484,False
373,491,False
374,465,False
375,493,False
376,497,False
377,507,False
378,494,False
379,420,False
380,484,False
381,504,False
382,430,False
383,505,False
384,507,False
385,492,False
386,480,False
387,502,False
388,468,False
389,504,False
390,504,False
391,490,False
392,504,False
393,494,False
394,483,False
395,507,False
396,501,False
397,494,False
398,499,False
399,476,False
400,486,False
401,474,False
402,440,False
403,449,False
404,491,False
405,493,False
406,484,False
407,493,False
408,482,False
409,503,False
410,487,False
411,492,False
412,495,False
413,503,False
414,487,False
415,503,False
416,491,False
417,489,False
418,506,False
419,493,False
420,481,False
421,433,False
422,495,False
423,500,False
424,449,False
425,496,False
426,472,False
427,472,False
428,480,False
429,411,False
430,456,False
431,494,False
432,494,False
433,493,False
434,495,False
435,496,False
436,475,False
437,447,False
438,504,False
439,505,False
440,473,False
441,465,False
442,484,False
443,480,False
444,496,False
445,496,False
446,507,False
447,482,False
448,495,False
449,495,False
450,487,False
451,503,False
452,497,False
453,466,False
454,482,False
455,485,False
456,479,False
457,491,False
458,462,False
459,504,False
460,465,False
461,473,False
462,496,False
463,504,False
464,491,False
465,464,False
466,503,False
467,490,False
468,489,False
469,437,False
470,493,False
471,503,False
472,503,False
473,476,False
474,501,False
475,497,False
476,468,False
477,493,False
478,498,False
479,479,False
480,504,False
481,489,False
482,498,False
483,490,False
484,469,False
485,465,False
486,495,False
487,488,False
488,504,False
489,502,False
490,506,False
491,437,False
492,505,False
493,466,False
494,492,False
495,502,False
496,503,False
497,500,False
498,422,False
499,454,False
500,491,False
501,498,False
502,491,False
503,492,False
504,474,False
505,502,False
506,487,False
507,498,False
508,498,False
509,473,False
510,505,False
511,482,False
512,453,False
513,432,False
514,447,False
515,477,False
516,480,False
517,490,False
518,473,False
519,506,False
520,479,False
521,443,False
522,465,False
523,428,False
524,492,False
525,490,False
526,498,False
527,446,False
528,435,False
529,502,False
530,457,False
531,485,False
532,493,False
533,497,False
534,497,False
535,495,False
536,500,False
537,483,False
538,505,False
539,468,False
540,502,False
541,455,False
542,494,False
543,479,False
544,497,False
545,497,False
546,490,False
547,500,False
548,480,False
549,477,False
550,466,False
551,502,False
552,489,False
553,483,False
554,499,False
555,490,False
556,464,False
557,501,False
558,491,False
559,475,False
560,484,False
561,486,False
562,495,False
563,477,False
564,499,False
565,461,False
566,494,False
567,484,False
568,478,False
569,503,False
570,464,False
571,497,False
572,499,False
573,501,False
574,398,False
575,497,False
576,507,False
577,497,False
578,495,False
579,450,False
580,480,False
581,431,False
582,501,False
583,480,False
584,424,False
585,484,False
586,489,False
587,497,False
588,485,False
589,500,False
590,389,False
591,495,False
592,479,False
593,380,False
594,482,False
595,490,False
596,475,False
597,502,False
598,499,False
599,503,False
600,488,False
601,491,False
602,435,False
603,428,False
604,507,False
605,505,False
606,427,False
607,501,False
608,452,False
609,437,False
610,503,False
611,499,False
612,503,False
613,482,False
614,508,False
615,509,False
616,493,False
617,503,False
618,379,False
619,501,False
620,430,False
621,491,False
622,509,False
623,490,False
624,503,False
625,503,False
626,490,False
627,500,False
628,454,False
629,491,False
630,505,False
631,496,False
632,495,False
633,424,False
634,455,False
635,487,False
636,457,False
637,464,False
638,495,False
639,465,False
640,498,False
641,505,False
642,493,False
643,483,False
644,498,False
645,490,False
646,498,False
647,464,False
648,438,False
649,497,False
650,505,False
651,494,False
652,497,False
653,505,False
654,486,False
655,500,False
656,504,False
657,444,False
658,506,False
659,489,False
660,473,False
661,458,False
662,461,False
663,495,False
664,501,False
665,461,False
666,453,False
667,503,False
668,480,False
669,505,False
670,504,False
671,464,False
672,505,False
673,504,False
674,501,False
675,459,False
676,480,False
677,476,False
678,499,False
679,490,False
680,493,False
681,493,False
682,504,False
683,506,False
684,502,False
685,505,False
686,508,False
687,499,False
688,439,False
689,450,False
690,500,False
691,397,False
692,506,False
693,465,False
694,505,False
695,421,False
696,493,False
697,498,False
698,456,False
699,502,False
700,489,False
701,506,False
702,505,False
703,504,False
704,450,False
705,458,False
706,427,False
707,503,False
708,491,False
709,471,False
710,500,False
711,500,False
712,473,False
713,505,False
714,478,False
715,509,False
716,485,False
717,493,False
718,501,False
719,504,False
720,500,False
721,498,False
722,497,False
723,502,False
724,507,False
725,504,False
726,415,False
727,488,False
728,449,False
729,505,False
730,505,False
731,475,False
732,481,False
733,501,False
734,497,False
735,490,False
736,505,False
737,428,False
738,438,False
739,505,False
740,415,False
741,487,False
742,495,False
743,500,False
744,464,False
745,471,False
746,501,False
747,506,False
748,460,False
749,505,False
750,496,False
751,497,False
752,505,False
753,470,False
754,470,False
755,465,False
756,395,False
757,473,False
758,503,False
759,479,False
760,492,False
761,485,False
762,508,False
763,500,False
764,481,False
765,496,False
766,496,False
767,506,False
768,500,False
769,457,False
770,492,False
771,501,False
772,496,False
773,458,False
774,503,False
775,478,False
776,455,False
777,493,False
778,482,False
779,508,False
780,506,False
781,482,False
782,412,False
783,498,False
784,500,False
785,497,False
786,453,False
787,505,False
788,452,False
789,479,False
790,493,False
791,505,False
792,508,False
793,498,False
794,438,False
795,492,False
796,505,False
797,506,False
798,502,False
799,500,False
800,473,False
801,411,False
802,483,False
803,487,False
804,452,False
805,452,False
806,508,False
807,486,False
808,500,False
809,504,False
810,491,False
811,507,False
812,506,False
813,499,False
814,495,False
815,507,False
816,493,False
817,500,False
818,502,False
819,486,False
820,489,False
821,500,False
822,506,False
823,478,False
824,507,False
825,442,False
826,508,False
827,484,False
828,500,False
829,483,False
830,449,False
831,473,False
832,484,False
833,499,False
834,501,False
835,484,False
836,454,False
837,489,False
