step,rank,is_low_rank
0,352,True
1,365,False
2,374,False
3,359,False
4,393,False
5,348,True
6,381,False
7,393,False
8,378,False
9,314,True
10,372,False
11,370,False
12,368,False
13,348,True
14,374,False
15,398,False
16,321,True
17,355,True
18,370,False
19,375,False
20,365,False
21,341,True
22,368,False
23,355,True
24,366,False
25,360,False
26,339,True
27,345,True
28,351,True
29,363,False
30,345,True
31,358,True
32,354,True
33,349,True
34,363,False
35,356,True
36,369,False
37,354,True
38,348,True
39,363,False
40,378,False
41,367,False
42,326,True
43,349,True
44,352,True
45,347,True
46,354,True
47,389,False
48,382,False
49,385,False
50,337,True
51,391,False
52,351,True
53,384,False
54,373,False
55,355,True
56,350,True
57,362,False
58,341,True
59,367,False
60,341,True
61,364,False
62,372,False
63,380,False
64,378,False
65,345,True
66,347,True
67,372,False
68,403,False
69,325,True
70,362,False
71,371,False
72,335,True
73,356,True
74,343,True
75,359,False
76,384,False
77,374,False
78,360,False
79,352,True
80,344,True
81,322,True
82,332,True
83,343,True
84,387,False
85,337,True
86,368,False
87,373,False
88,367,False
89,369,False
90,358,True
91,366,False
92,331,True
93,396,False
94,354,True
95,346,True
96,366,False
97,342,True
98,334,True
99,362,False
100,363,False
101,326,True
102,366,False
103,344,True
104,364,False
105,378,False
106,347,True
107,386,False
108,321,True
109,359,False
110,371,False
111,337,True
112,384,False
113,381,False
114,379,False
115,352,True
116,339,True
117,348,True
118,379,False
119,390,False
120,365,False
121,345,True
122,314,True
123,361,False
124,342,True
125,367,False
126,312,True
127,368,False
128,371,False
129,307,True
130,351,True
131,361,False
132,348,True
133,356,True
134,358,True
135,359,False
136,372,False
137,355,True
138,376,False
139,358,True
140,376,False
141,394,False
142,373,False
143,340,True
144,368,False
145,379,False
146,375,False
147,353,True
148,383,False
149,350,True
150,322,True
151,393,False
152,391,False
153,353,True
154,327,True
155,367,False
156,359,False
157,346,True
158,348,True
159,357,True
160,370,False
161,386,False
162,347,True
163,362,False
164,391,False
165,373,False
166,343,True
167,357,True
168,354,True
169,373,False
170,384,False
171,319,True
172,350,True
173,334,True
174,359,False
175,351,True
176,353,True
177,348,True
178,341,True
179,353,True
180,361,False
181,364,False
182,336,True
183,363,False
184,377,False
185,363,False
186,362,False
187,434,False
188,355,True
189,369,False
190,389,False
191,347,True
192,353,True
193,354,True
194,427,False
195,374,False
196,371,False
197,362,False
198,353,True
199,389,False
200,386,False
201,365,False
202,408,False
203,417,False
204,384,False
205,315,True
206,342,True
207,359,False
208,384,False
209,357,True
210,336,True
211,384,False
212,394,False
213,424,False
214,394,False
215,393,False
216,366,False
217,396,False
218,326,True
219,389,False
220,383,False
221,352,True
222,384,False
223,385,False
224,411,False
225,381,False
226,417,False
227,360,False
228,369,False
229,352,True
230,397,False
231,372,False
232,398,False
233,432,False
234,316,True
235,440,False
236,364,False
237,456,False
238,354,True
239,412,False
240,403,False
241,390,False
242,414,False
243,391,False
244,392,False
245,430,False
246,355,True
247,435,False
248,382,False
249,375,False
250,373,False
251,381,False
252,416,False
253,394,False
254,391,False
255,416,False
256,379,False
257,360,False
258,428,False
259,407,False
260,415,False
261,433,False
262,389,False
263,379,False
264,350,True
265,417,False
266,455,False
267,413,False
268,443,False
269,429,False
270,459,False
271,398,False
272,453,False
273,418,False
274,430,False
275,396,False
276,431,False
277,400,False
278,396,False
279,422,False
280,360,False
281,399,False
282,405,False
283,401,False
284,457,False
285,429,False
286,421,False
287,395,False
288,424,False
289,435,False
290,405,False
291,437,False
292,459,False
293,469,False
294,358,True
295,366,False
296,457,False
297,406,False
298,470,False
299,444,False
300,421,False
301,430,False
302,460,False
303,436,False
304,451,False
305,399,False
306,451,False
307,465,False
308,487,False
309,411,False
310,393,False
311,443,False
312,472,False
313,437,False
314,469,False
315,419,False
316,477,False
317,444,False
318,424,False
319,448,False
320,456,False
321,452,False
322,459,False
323,445,False
324,417,False
325,426,False
326,479,False
327,429,False
328,414,False
329,440,False
330,482,False
331,425,False
332,448,False
333,453,False
334,398,False
335,427,False
336,412,False
337,455,False
338,476,False
339,471,False
340,465,False
341,477,False
342,462,False
343,467,False
344,442,False
345,449,False
346,460,False
347,490,False
348,470,False
349,473,False
350,460,False
351,456,False
352,474,False
353,422,False
354,439,False
355,463,False
356,417,False
357,456,False
358,449,False
359,434,False
360,435,False
361,457,False
362,461,False
363,469,False
364,429,False
365,491,False
366,487,False
367,483,False
368,445,False
369,471,False
370,395,False
371,497,False
372,448,False
373,437,False
374,438,False
375,463,False
376,465,False
377,480,False
378,485,False
