step,rank,is_low_rank
0,495,False
1,512,False
2,494,False
3,505,False
4,497,False
5,493,False
6,480,False
7,512,False
8,505,False
9,468,False
10,510,False
11,485,False
12,478,False
13,452,False
14,484,False
15,512,False
16,469,False
17,478,False
18,493,False
19,491,False
20,507,False
21,460,False
22,510,False
23,487,False
24,501,False
25,480,False
26,426,False
27,484,False
28,474,False
29,512,False
30,489,False
31,448,False
32,467,False
33,493,False
34,471,False
35,495,False
36,463,False
37,505,False
38,507,False
39,490,False
40,512,False
41,504,False
42,442,False
43,447,False
44,506,False
45,490,False
46,495,False
47,506,False
48,468,False
49,512,False
50,437,False
51,512,False
52,497,False
53,506,False
54,487,False
55,512,False
56,510,False
57,498,False
58,486,False
59,507,False
60,499,False
61,490,False
62,512,False
63,488,False
64,504,False
65,467,False
66,509,False
67,512,False
68,512,False
69,448,False
70,500,False
71,481,False
72,482,False
73,483,False
74,499,False
75,502,False
76,511,False
77,498,False
78,459,False
79,493,False
80,459,False
81,394,False
82,394,False
83,504,False
84,501,False
85,482,False
86,512,False
87,504,False
88,509,False
89,494,False
90,483,False
91,487,False
92,510,False
93,512,False
94,488,False
95,452,False
96,500,False
97,496,False
98,483,False
99,490,False
100,502,False
101,470,False
102,471,False
103,508,False
104,470,False
105,497,False
106,440,False
107,511,False
108,479,False
109,493,False
110,506,False
111,465,False
112,495,False
113,479,False
114,512,False
115,473,False
116,474,False
117,498,False
118,508,False
119,507,False
120,477,False
121,504,False
122,466,False
123,498,False
124,505,False
125,488,False
126,460,False
127,501,False
128,509,False
129,428,False
130,497,False
131,498,False
132,469,False
133,501,False
134,502,False
135,481,False
136,512,False
137,504,False
138,509,False
139,483,False
140,512,False
141,508,False
142,491,False
143,483,False
144,498,False
145,512,False
146,501,False
147,462,False
148,512,False
149,500,False
150,448,False
151,512,False
152,512,False
153,478,False
154,469,False
155,488,False
156,512,False
157,482,False
158,497,False
159,512,False
160,512,False
161,511,False
162,454,False
163,459,False
164,512,False
165,490,False
166,421,False
167,499,False
168,466,False
169,495,False
170,500,False
171,454,False
172,469,False
173,480,False
174,502,False
175,475,False
176,486,False
177,432,False
178,495,False
179,477,False
180,493,False
181,490,False
182,478,False
183,505,False
184,493,False
185,449,False
186,479,False
187,512,False
188,470,False
189,453,False
190,512,False
191,434,False
192,476,False
193,440,False
194,512,False
195,494,False
196,482,False
197,449,False
198,478,False
199,482,False
200,485,False
201,438,False
202,512,False
203,509,False
204,511,False
205,428,False
206,424,False
207,480,False
208,512,False
209,503,False
210,368,False
211,500,False
212,512,False
213,512,False
214,510,False
215,500,False
216,464,False
217,498,False
218,432,False
219,463,False
220,478,False
221,471,False
222,464,False
223,512,False
224,512,False
225,509,False
226,512,False
227,397,False
228,510,False
229,485,False
230,512,False
231,471,False
232,507,False
233,512,False
234,419,False
235,512,False
236,458,False
237,512,False
238,448,False
239,512,False
240,512,False
241,512,False
242,512,False
243,512,False
244,512,False
245,512,False
246,480,False
247,512,False
248,512,False
249,380,False
250,511,False
251,483,False
252,484,False
253,512,False
254,501,False
255,512,False
256,457,False
257,511,False
258,512,False
259,512,False
260,512,False
261,512,False
262,512,False
263,512,False
264,498,False
265,512,False
266,512,False
267,508,False
268,512,False
269,512,False
270,512,False
271,495,False
272,512,False
273,512,False
274,512,False
275,508,False
276,512,False
277,491,False
278,499,False
279,512,False
280,452,False
281,492,False
282,507,False
283,512,False
284,512,False
285,512,False
286,512,False
287,503,False
288,512,False
289,512,False
290,512,False
291,512,False
292,512,False
293,512,False
294,501,False
295,482,False
296,512,False
297,482,False
298,512,False
299,512,False
300,512,False
301,512,False
302,512,False
303,502,False
304,504,False
305,460,False
306,512,False
307,512,False
308,512,False
309,506,False
310,512,False
311,512,False
312,512,False
313,512,False
314,512,False
315,512,False
316,512,False
317,511,False
318,512,False
319,512,False
320,512,False
321,512,False
322,512,False
323,512,False
324,489,False
325,512,False
326,512,False
327,485,False
328,472,False
329,512,False
330,512,False
331,512,False
332,512,False
333,512,False
334,484,False
335,512,False
336,507,False
337,512,False
338,512,False
339,512,False
340,512,False
341,512,False
342,512,False
343,512,False
344,512,False
345,512,False
346,512,False
347,512,False
348,512,False
349,512,False
350,512,False
351,512,False
352,512,False
353,506,False
354,512,False
355,512,False
356,466,False
357,503,False
358,512,False
359,482,False
360,510,False
361,512,False
362,512,False
363,512,False
364,493,False
365,512,False
366,512,False
367,512,False
368,512,False
369,512,False
370,465,False
371,512,False
372,512,False
373,512,False
374,498,False
375,512,False
376,512,False
377,512,False
378,512,False
379,478,False
380,512,False
381,512,False
382,477,False
383,512,False
384,512,False
385,512,False
386,512,False
387,512,False
388,497,False
389,512,False
390,512,False
391,512,False
392,512,False
393,512,False
394,512,False
395,512,False
396,512,False
397,512,False
398,512,False
399,512,False
400,512,False
401,510,False
402,481,False
403,498,False
404,512,False
405,512,False
406,512,False
407,512,False
408,512,False
409,512,False
410,512,False
411,512,False
412,512,False
413,512,False
