step,rank,is_low_rank
0,484,False
1,493,False
2,458,False
3,486,False
4,465,False
5,477,False
6,470,False
7,488,False
8,490,False
9,449,False
10,486,False
11,478,False
12,461,False
13,432,False
14,445,False
15,499,False
16,436,False
17,458,False
18,472,False
19,479,False
20,490,False
21,437,False
22,490,False
23,471,False
24,482,False
25,467,False
26,391,False
27,439,False
28,451,False
29,496,False
30,470,False
31,443,False
32,444,False
33,469,False
34,465,False
35,484,False
36,450,False
37,473,False
38,486,False
39,478,False
40,500,False
41,475,False
42,418,False
43,425,False
44,488,False
45,471,False
46,479,False
47,485,False
48,448,False
49,492,False
50,443,False
51,497,False
52,473,False
53,482,False
54,483,False
55,493,False
56,495,False
57,480,False
58,468,False
59,489,False
60,484,False
61,480,False
62,496,False
63,472,False
64,490,False
65,437,False
66,484,False
67,495,False
68,497,False
69,444,False
70,479,False
71,472,False
72,464,False
73,479,False
74,475,False
75,479,False
76,493,False
77,489,False
78,463,False
79,482,False
80,463,False
81,389,False
82,361,False
83,471,False
84,484,False
85,454,False
86,499,False
87,486,False
88,493,False
89,480,False
90,471,False
91,469,False
92,493,False
93,498,False
94,467,False
95,447,False
96,486,False
97,474,False
98,462,False
99,481,False
100,489,False
101,448,False
102,482,False
103,492,False
104,460,False
105,478,False
106,424,False
107,494,False
108,465,False
109,472,False
110,493,False
111,446,False
112,480,False
113,471,False
114,496,False
115,441,False
116,465,False
117,475,False
118,492,False
119,463,False
120,449,False
121,486,False
122,449,False
123,478,False
124,489,False
125,475,False
126,448,False
127,487,False
128,495,False
129,403,False
130,478,False
131,485,False
132,450,False
133,487,False
134,488,False
135,464,False
136,491,False
137,489,False
138,491,False
139,477,False
140,492,False
141,485,False
142,482,False
143,470,False
144,481,False
145,494,False
146,491,False
147,448,False
148,492,False
149,474,False
150,455,False
151,501,False
152,495,False
153,461,False
154,457,False
155,470,False
156,482,False
157,470,False
158,474,False
159,496,False
160,494,False
161,494,False
162,438,False
163,447,False
164,491,False
165,468,False
166,403,False
167,459,False
168,451,False
169,462,False
170,484,False
171,456,False
172,464,False
173,462,False
174,482,False
175,457,False
176,475,False
177,443,False
178,467,False
179,424,False
180,478,False
181,476,False
182,460,False
183,486,False
184,479,False
185,452,False
186,453,False
187,507,False
188,455,False
189,455,False
190,498,False
191,425,False
192,472,False
193,437,False
194,502,False
195,481,False
196,474,False
