step,training_loss
5.000000000000000000e+02,3.064599999999999991e+00
1.000000000000000000e+03,5.162999999999999812e-01
1.500000000000000000e+03,4.803999999999999937e-01
2.000000000000000000e+03,4.694999999999999729e-01
2.500000000000000000e+03,4.653999999999999804e-01
3.000000000000000000e+03,4.613999999999999768e-01
3.500000000000000000e+03,4.551999999999999935e-01
4.000000000000000000e+03,4.516000000000000014e-01
4.500000000000000000e+03,4.606999999999999984e-01
5.000000000000000000e+03,4.491999999999999882e-01
5.500000000000000000e+03,4.524000000000000243e-01
6.000000000000000000e+03,4.556999999999999940e-01
