step,training_loss
500,6.2157
1000,1.0363
1500,0.5859
2000,0.5399
2500,0.522
3000,0.5096
3500,0.4759
4000,0.4793
4500,0.477
5000,0.4766
5500,0.4855
6000,0.452
6500,0.4568
7000,0.4732
7500,0.4663
8000,0.4579
8500,0.4734
9000,0.4609
9500,0.4622
10000,0.445
10500,0.4663
11000,0.4537
11500,0.4429
12000,0.4669
12500,0.4498
13000,0.4635
13500,0.4396
14000,0.4586
14500,0.453
15000,0.4554
15500,0.4428
16000,0.4431
16500,0.4525
17000,0.4505
17500,0.4677
18000,0.465
18500,0.4402
19000,0.448
19500,0.4448
20000,0.4541
20500,0.4457
21000,0.4556
21500,0.4492
22000,0.4546
22500,0.4447
23000,0.4573
23500,0.4661
24000,0.4451
24500,0.4543
25000,0.4237
