parameter,,pretraining_frobenius,,full_frobenius,,lora_frobenius
shared.weight,,94070.51563,,94070.91406,,94070.51563
encoder.block.0.layer.0.SelfAttention.q.weight,,30.58675003,,30.64658928,,30.58770943
encoder.block.0.layer.0.SelfAttention.k.weight,,249.7533569,,249.7721252,,249.749649
encoder.block.0.layer.0.SelfAttention.v.weight,,230.245636,,230.2263489,,230.2470551
encoder.block.0.layer.0.SelfAttention.o.weight,,326.3661804,,326.3374023,,326.3666077
encoder.block.0.layer.0.SelfAttention.relative_attention_bias.weight,,45.25298309,,45.24150467,,45.25298309
encoder.block.0.layer.0.layer_norm.weight,,2.223496437,,2.215046644,,2.223496437
encoder.block.0.layer.1.DenseReluDense.wi.weight,,630.3257446,,630.3494263,,630.3257446
encoder.block.0.layer.1.DenseReluDense.wo.weight,,312.3282166,,312.3353577,,312.3282166
encoder.block.0.layer.1.layer_norm.weight,,8.535995483,,8.522375107,,8.535995483
encoder.block.1.layer.0.SelfAttention.q.weight,,30.70557213,,30.76570892,,30.70959091
encoder.block.1.layer.0.SelfAttention.k.weight,,238.0447388,,238.0655365,,238.0446014
encoder.block.1.layer.0.SelfAttention.v.weight,,302.5214539,,302.5170898,,302.5220032
encoder.block.1.layer.0.SelfAttention.o.weight,,415.6359558,,415.6243896,,415.6410217
encoder.block.1.layer.0.layer_norm.weight,,2.394037485,,2.40143466,,2.394037485
encoder.block.1.layer.1.DenseReluDense.wi.weight,,776.7749634,,776.7855225,,776.7749634
encoder.block.1.layer.1.DenseReluDense.wo.weight,,369.4012756,,369.4160156,,369.4012756
encoder.block.1.layer.1.layer_norm.weight,,9.602096558,,9.602700233,,9.602096558
encoder.block.2.layer.0.SelfAttention.q.weight,,23.02306747,,23.10328102,,23.02834702
encoder.block.2.layer.0.SelfAttention.k.weight,,193.5545807,,193.5830231,,193.5473785
encoder.block.2.layer.0.SelfAttention.v.weight,,320.3967285,,320.4005127,,320.3965454
encoder.block.2.layer.0.SelfAttention.o.weight,,413.6328125,,413.632019,,413.6318054
encoder.block.2.layer.0.layer_norm.weight,,3.154947519,,3.17260766,,3.154947519
encoder.block.2.layer.1.DenseReluDense.wi.weight,,805.0272217,,805.0222778,,805.0272217
encoder.block.2.layer.1.DenseReluDense.wo.weight,,416.5980225,,416.6083069,,416.5980225
encoder.block.2.layer.1.layer_norm.weight,,14.28330994,,14.28499413,,14.28330994
encoder.block.3.layer.0.SelfAttention.q.weight,,28.02971649,,28.10180855,,28.03305435
encoder.block.3.layer.0.SelfAttention.k.weight,,229.657486,,229.6852112,,229.6571045
encoder.block.3.layer.0.SelfAttention.v.weight,,348.6509705,,348.6768799,,348.6531372
encoder.block.3.layer.0.SelfAttention.o.weight,,522.5744629,,522.5924683,,522.5743408
encoder.block.3.layer.0.layer_norm.weight,,2.742585897,,2.776295185,,2.742585897
encoder.block.3.layer.1.DenseReluDense.wi.weight,,835.4632568,,835.4572754,,835.4632568
encoder.block.3.layer.1.DenseReluDense.wo.weight,,449.5489502,,449.5508423,,449.5489502
encoder.block.3.layer.1.layer_norm.weight,,17.71161842,,17.71320724,,17.71161842
encoder.block.4.layer.0.SelfAttention.q.weight,,27.88057899,,27.94496727,,27.88200951
encoder.block.4.layer.0.SelfAttention.k.weight,,230.6643982,,230.6862335,,230.664032
encoder.block.4.layer.0.SelfAttention.v.weight,,394.0409546,,394.0693665,,394.044342
encoder.block.4.layer.0.SelfAttention.o.weight,,684.2147217,,684.2427979,,684.217041
encoder.block.4.layer.0.layer_norm.weight,,2.68445015,,2.718470573,,2.68445015
encoder.block.4.layer.1.DenseReluDense.wi.weight,,921.6737061,,921.6511841,,921.6737061
encoder.block.4.layer.1.DenseReluDense.wo.weight,,497.9028931,,497.8984375,,497.9028931
encoder.block.4.layer.1.layer_norm.weight,,18.06840897,,18.07060432,,18.06840897
encoder.block.5.layer.0.SelfAttention.q.weight,,27.69672775,,27.77131081,,27.70565224
encoder.block.5.layer.0.SelfAttention.k.weight,,223.495697,,223.5186005,,223.4977112
encoder.block.5.layer.0.SelfAttention.v.weight,,458.8856201,,458.9011841,,458.8840637
encoder.block.5.layer.0.SelfAttention.o.weight,,885.2744141,,885.2920532,,885.2555542
encoder.block.5.layer.0.layer_norm.weight,,2.738711596,,2.766645193,,2.738711596
encoder.block.5.layer.1.DenseReluDense.wi.weight,,952.3545532,,952.3598022,,952.3545532
encoder.block.5.layer.1.DenseReluDense.wo.weight,,568.8536377,,568.8380737,,568.8536377
encoder.block.5.layer.1.layer_norm.weight,,14.73550034,,14.72423744,,14.73550034
encoder.final_layer_norm.weight,,5.755595684,,5.745061874,,5.755595684
decoder.block.0.layer.0.SelfAttention.q.weight,,35.78568268,,35.83880234,,35.8273201
decoder.block.0.layer.0.SelfAttention.k.weight,,286.5092163,,286.5167847,,286.68396
decoder.block.0.layer.0.SelfAttention.v.weight,,250.7055054,,250.7221222,,250.7675629
decoder.block.0.layer.0.SelfAttention.o.weight,,438.9806519,,438.9864502,,439.0232849
decoder.block.0.layer.0.SelfAttention.relative_attention_bias.weight,,114.867691,,114.8496399,,114.867691
decoder.block.0.layer.0.layer_norm.weight,,2.146659851,,2.168316841,,2.146659851
decoder.block.0.layer.1.EncDecAttention.q.weight,,30.67512894,,30.7102623,,30.70731735
decoder.block.0.layer.1.EncDecAttention.k.weight,,201.1323853,,201.1092529,,201.1377716
decoder.block.0.layer.1.EncDecAttention.v.weight,,240.2243958,,240.195816,,240.2557831
decoder.block.0.layer.1.EncDecAttention.o.weight,,366.980896,,366.9616394,,366.9723816
decoder.block.0.layer.1.layer_norm.weight,,2.303827047,,2.290480614,,2.303827047
decoder.block.0.layer.2.DenseReluDense.wi.weight,,634.6859741,,634.677063,,634.6859741
decoder.block.0.layer.2.DenseReluDense.wo.weight,,343.303833,,343.3007202,,343.303833
decoder.block.0.layer.2.layer_norm.weight,,16.95864487,,16.94966698,,16.95864487
decoder.block.1.layer.0.SelfAttention.q.weight,,28.5306015,,28.57749939,,28.96180725
decoder.block.1.layer.0.SelfAttention.k.weight,,219.6854248,,219.7255859,,219.806366
decoder.block.1.layer.0.SelfAttention.v.weight,,370.8482971,,370.8890991,,371.0056152
decoder.block.1.layer.0.SelfAttention.o.weight,,466.7652893,,466.7897339,,467.2312622
decoder.block.1.layer.0.layer_norm.weight,,3.076453924,,3.122439384,,3.076453924
decoder.block.1.layer.1.EncDecAttention.q.weight,,37.64061737,,37.66617584,,37.71228027
decoder.block.1.layer.1.EncDecAttention.k.weight,,179.8083496,,179.7920532,,179.8249054
decoder.block.1.layer.1.EncDecAttention.v.weight,,325.8859253,,325.8835449,,325.9139709
decoder.block.1.layer.1.EncDecAttention.o.weight,,333.3443909,,333.3500977,,333.3800354
decoder.block.1.layer.1.layer_norm.weight,,2.262481451,,2.250910759,,2.262481451
decoder.block.1.layer.2.DenseReluDense.wi.weight,,731.307373,,731.3254395,,731.307373
decoder.block.1.layer.2.DenseReluDense.wo.weight,,367.2064209,,367.2076721,,367.2064209
decoder.block.1.layer.2.layer_norm.weight,,26.74952507,,26.75798035,,26.74952507
decoder.block.2.layer.0.SelfAttention.q.weight,,25.1907196,,25.25904846,,25.23230171
decoder.block.2.layer.0.SelfAttention.k.weight,,208.2065125,,208.2208862,,208.2187653
decoder.block.2.layer.0.SelfAttention.v.weight,,465.1362,,465.1462708,,465.1613159
decoder.block.2.layer.0.SelfAttention.o.weight,,548.9351807,,548.9294434,,548.9401245
decoder.block.2.layer.0.layer_norm.weight,,3.337987185,,3.354917288,,3.337987185
decoder.block.2.layer.1.EncDecAttention.q.weight,,34.70965576,,34.76966095,,34.78912354
decoder.block.2.layer.1.EncDecAttention.k.weight,,200.9393311,,200.9378204,,200.9582977
decoder.block.2.layer.1.EncDecAttention.v.weight,,378.4754028,,378.4719238,,378.4794312
decoder.block.2.layer.1.EncDecAttention.o.weight,,375.6438599,,375.6441956,,375.6783752
decoder.block.2.layer.1.layer_norm.weight,,2.043411255,,2.056221485,,2.043411255
decoder.block.2.layer.2.DenseReluDense.wi.weight,,754.8742676,,754.8865967,,754.8742676
decoder.block.2.layer.2.DenseReluDense.wo.weight,,396.8413391,,396.8416748,,396.8413391
decoder.block.2.layer.2.layer_norm.weight,,33.28739929,,33.30093384,,33.28739929
decoder.block.3.layer.0.SelfAttention.q.weight,,23.71399498,,23.79968452,,23.76758766
decoder.block.3.layer.0.SelfAttention.k.weight,,214.4637909,,214.4859009,,214.4698792
decoder.block.3.layer.0.SelfAttention.v.weight,,490.6659241,,490.6875305,,490.7158203
decoder.block.3.layer.0.SelfAttention.o.weight,,734.2890015,,734.2853394,,734.1489258
decoder.block.3.layer.0.layer_norm.weight,,3.597532988,,3.624639988,,3.597532988
decoder.block.3.layer.1.EncDecAttention.q.weight,,22.51907158,,22.62793541,,22.5812912
decoder.block.3.layer.1.EncDecAttention.k.weight,,210.1000366,,210.1239014,,210.1081696
decoder.block.3.layer.1.EncDecAttention.v.weight,,471.7802429,,471.8066101,,471.7796631
decoder.block.3.layer.1.EncDecAttention.o.weight,,458.0908508,,458.1125793,,458.123291
decoder.block.3.layer.1.layer_norm.weight,,2.843294621,,2.875858068,,2.843294621
decoder.block.3.layer.2.DenseReluDense.wi.weight,,696.5665894,,696.576355,,696.5665894
decoder.block.3.layer.2.DenseReluDense.wo.weight,,408.6656494,,408.6767883,,408.6656494
decoder.block.3.layer.2.layer_norm.weight,,44.23259354,,44.23513794,,44.23259354
decoder.block.4.layer.0.SelfAttention.q.weight,,22.25886154,,22.33595467,,22.42017365
decoder.block.4.layer.0.SelfAttention.k.weight,,210.4281921,,210.4587555,,210.4674988
decoder.block.4.layer.0.SelfAttention.v.weight,,456.4761963,,456.5106201,,456.508728
